label,message,char_count,word_count,avg_word_length,exclamation_count,financial_words,urgency_words,action_words,phone_numbers,urls,emoji_count,slang_score,language_mix_ratio,capitalization_ratio,profanity_count,url_is_suspicious,url_is_registered,platform,sender_type
spam,Win NFT mint pass! Go bit.ly/fomo now. Only for followers of @VibeLabs 🔥,72,14,3.857,1,1,1,0,0,1,1,0,0,0.111,0,1,0,Instagram,user
ham,u still down for movie? tickets at 7 पनि,40,9,3.333,0,0,0,0,0,0,0,0,0.1,0,0,0,0,Instagram,business
spam,Low-key insane cashback ₹2000 when you shop at https://brand.com/redeem 💸 use JIQLB5,84,15,4.333,0,1,0,1,0,1,1,0,0,0.071,0,1,1,SMS,unknown
ham,"brb, stuck in class rn. ttyl 🙂",30,6,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,Telegram,business
spam,Low-key insane cashback 50 followers when you shop at https://brand.com/redeem 💸 use WKGS02,91,16,4.5,0,1,0,1,0,1,1,0,0,0.055,0,1,1,Instagram,unknown
spam,Low-key insane cashback $50 when you shop at t.ly/win 💸 use I0RP5I,66,14,3.571,0,2,0,0,0,1,1,0,0,0.076,0,1,0,Email,business
ham,"phone battery low, using sis's rn. be there soon",48,10,3.7,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,verified
ham,happy bday!!! gonna cake u later 🎉,34,6,4,3,0,0,0,0,0,1,0,0,0,0,0,0,Instagram,business
ham,u coming to the party tonight? it's gonna be lit ✨,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,Instagram,business
ham,pls pick up milk + eggs on ur way home?,39,9,3.111,0,0,0,0,0,0,0,0,0,0,0,0,0,Telegram,unknown
ham,u coming to the party tonight? it's gonna be lit 🎁 ठिक छ,56,14,2.857,0,0,0,0,0,0,1,1,0.098,0,0,0,0,Telegram,unknown
ham,lol that meme had me dead 😂 send it again पनि,45,10,3.3,0,0,0,1,0,0,1,0,0.088,0,0,0,0,SMS,user
ham,u coming to the party tonight? it's gonna be lit 💸,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,Email,unknown
spam,Claim your gift: t.ly/win code EM4I96 🎁,39,8,3.625,0,2,0,1,0,1,1,0,0,0.103,0,1,0,WhatsApp,user
spam,Claim your gift: https://amazon.com/deal code EMSBVA 🎁,54,9,4.556,0,1,0,1,0,1,1,0,0,0.13,0,0,1,Instagram,unknown
spam,Congrats! 🎉 You won 50 followers via YouTube. Tap t.ly/win to claim. OTP: 6CIOR0,80,15,4,1,1,0,2,0,1,1,0,0,0.15,0,1,0,WhatsApp,unknown
spam,Limited drop: 90% off drip bundle — visit https://spotify.com/promo T&C apply,77,14,4.143,0,0,1,0,0,1,0,0,0,0.039,0,0,1,Email,unknown
ham,srsly need coffee rn ☕ wanna grab? ठीक छ,40,9,3.222,0,0,0,0,0,0,1,0,0.133,0,0,0,0,Telegram,unknown
spam,TXT WIN to 60620 to get concert tix 🎶 hurry!,44,9,3.667,1,1,1,0,1,0,1,0,0,0.136,0,0,0,Email,user
spam,TXT WIN to 77416 to get concert tix 🎶 hurry!,44,9,3.667,1,1,1,0,1,0,1,0,0,0.136,0,0,0,WhatsApp,business
ham,we're meeting at 6pm at the usual spot. don't be late,53,13,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,Email,user
ham,omggg they released season 3!! when r we watching?,50,9,4.333,2,0,0,0,0,0,0,0,0,0,0,0,0,Telegram,business
ham,pls pick up milk + eggs on ur way home?,39,9,3.111,0,0,0,0,0,0,0,0,0,0,0,0,0,Instagram,business
ham,lol that meme had me dead 💸 send it again,41,9,3.444,0,0,0,1,0,0,1,0,0,0,0,0,0,SMS,unknown
ham,u still down for movie? tickets at 7,36,8,3.5,0,0,0,0,0,0,0,0,0,0,0,0,0,SMS,user
ham,screenshot ur notes and send pls,32,6,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,Email,business
spam,Verify your Telegram account: bit.ly/fomo (OTP: A2MZ7U) ⚠️,58,9,4.778,0,0,0,0,0,1,1,0,0,0.155,0,1,0,Email,unknown
spam,FLASH GIVEAWAY! RT + click https://amazon.com/deal to enter. Winners tonight!,77,12,4.917,2,0,0,1,0,1,0,0,0,0.208,0,0,1,Instagram,user
ham,u coming to the party tonight? it's gonna be lit 🔥,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,SMS,unknown
spam,Limited drop: 90% off gift card — visit linktr.ee/deal T&C apply,64,13,3.692,0,1,1,0,0,1,0,0,0,0.047,0,1,0,Instagram,business
spam,🔥 Drop alert! Exclusive concert tix on @ChaatApp. Claim: https://amazon.com/deal 🎁,82,12,5.083,1,0,0,1,0,1,2,0,0,0.061,0,0,1,Instagram,business
ham,screenshot ur notes and send pls,32,6,4.5,0,0,0,1,0,0,0,0,0,0,0,0,0,Email,unknown
ham,we're meeting at 6pm at the usual spot. don't be late ठिक छ,59,16,2.688,0,0,0,0,0,0,0,0,0.093,0,0,0,0,WhatsApp,unknown
ham,"group study at my place 4pm, bring laptop",41,8,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,Telegram,unknown
spam,FREE VIP — use 4RGA7T at https://brand.com/b24dac 🤯 limited 1 per user,70,13,4,0,1,1,0,0,1,0,0,0,0.157,0,0,1,WhatsApp,registered_business
spam,Parcel held — release with link https://brand.com/redeem or call 17125 to avoid return 😂,88,15,4.533,0,0,0,2,1,1,1,0,0,0.011,0,1,1,Telegram,unknown
spam,TXT WIN to 41118 to get concert tix 🎶 hurry!,44,9,3.667,1,1,1,0,1,0,1,0,0,0.136,0,0,0,Email,business
spam,Claim your gift: https://example.com/offer code 7PDGXM 🎁,56,9,4.778,0,2,0,1,0,1,1,0,0,0.107,0,0,1,Email,unknown
ham,omggg they released season 3!! when r we watching? ठीक छ,56,12,3.5,2,0,0,0,0,0,0,0,0.095,0,0,0,0,Telegram,unknown
ham,"brb, stuck in class rn. ttyl ❤️",31,6,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,SMS,business
spam,Verify bank details: rb.gy/claim — failure to verify may freeze account 😂,73,12,4.75,0,1,0,1,0,1,1,0,0,0.014,0,1,0,Instagram,unknown
ham,"tysm for today, had so much fun ❤️",34,7,3.429,0,0,1,0,0,0,1,0,0,0,0,0,0,Instagram,user
ham,"group study at my place 4pm, bring laptop",41,8,4.125,0,0,0,0,0,0,0,0,0,0,0,0,0,Instagram,unknown
spam,FLASH GIVEAWAY! RT + click rb.gy/claim to enter. Winners tonight!,65,11,4.545,2,0,0,2,0,1,0,0,0,0.246,0,1,0,WhatsApp,unknown
ham,"brb, stuck in class rn. ttyl ❤️ पनि",35,7,3.286,0,0,0,0,0,0,1,1,0.125,0,0,0,0,Instagram,registered_business
ham,srsly need coffee rn ☕ wanna grab? https://example.com/track,60,10,4.6,0,0,0,0,0,1,1,0,0,0,0,0,1,SMS,user
spam,Influencer collab — DM YES or check https://spotify.com/promo ✨ @Gramify,72,11,5,0,0,0,1,0,1,1,1,0,0.097,0,0,1,Email,registered_business
ham,"send the notes pls, i missed lecture :(",39,7,4.143,0,0,0,1,0,0,0,0,0,0,0,0,0,Instagram,business
spam,FREE VIP — use HDPK9Y at bit.ly/fomo 🤯 limited 1 per user,57,12,3.5,0,1,1,0,0,1,0,0,0,0.211,0,1,0,Email,unknown
spam,FLASH GIVEAWAY! RT + click https://brand.com/1cb311 to enter. Winners tonight!,78,12,5,2,0,0,1,0,1,0,0,0,0.205,0,0,1,WhatsApp,user
ham,u coming to the party tonight? it's gonna be lit 😩,50,11,3.364,0,0,0,0,0,0,1,1,0,0,0,0,0,WhatsApp,unknown
ham,"brb, stuck in class rn. ttyl 🎉",30,6,3.5,0,0,0,0,0,0,1,1,0,0,0,0,0,WhatsApp,unknown
spam,Verify bank details: https://example.com/offer — failure to verify may freeze account ⚠️,88,13,5.231,0,2,0,0,0,1,1,0,0,0.011,0,0,1,Email,unknown
ham,"ma tard hunchu, 20 min delay. sorry yaar 💸 https://brand.com/redeem",67,12,4.167,0,0,0,1,0,1,1,0,0,0,0,1,1,SMS,unknown
ham,"save this song, it's been on repeat 🎧 ठीक छ",43,11,2.727,0,0,0,0,0,0,1,0,0.129,0,0,0,0,Instagram,unknown
ham,happy bday!!! gonna cake u later 😂 पनि,38,7,3.714,3,0,0,0,0,0,1,0,0.111,0,0,0,0,Telegram,unknown
ham,"call me when free, need to ask something",40,8,4,0,1,0,1,0,0,0,0,0,0,0,0,0,WhatsApp,business
spam,Parcel held — release with link bit.ly/fomo or call 10571 to avoid return 🤯,75,14,4.143,0,0,0,1,1,1,0,0,0,0.013,0,1,0,Email,unknown
ham,we're meeting at 6pm at the usual spot. don't be late,53,13,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,Instagram,unknown
spam,Congrats! 🎉 You won Rs.500 via WhatsApp. Tap https://amazon.com/deal to claim. OTP: F8DFDC,90,16,4.188,1,1,0,2,0,1,1,0,0,0.156,0,0,1,SMS,unknown
ham,screenshot ur notes and send pls ठीक छ,38,9,3.333,0,0,0,1,0,0,0,0,0.129,0,0,0,0,Telegram,unknown
ham,we're meeting at 6pm at the usual spot. don't be late,53,13,3.077,0,0,0,0,0,0,0,0,0,0,0,0,0,WhatsApp,unknown
spam,Influencer collab — DM YES or check https://brand.com/redeem ✨ @GlowUp,70,11,4.818,0,0,0,2,0,1,1,1,0,0.114,0,1,1,Instagram,unknown
spam,Win NFT mint pass! Go rb.gy/claim now. Only for followers of @GlowUp 🔥,70,14,3.714,1,1,1,1,0,1,1,0,0,0.114,0,1,0,Email,unknown
ham,we're meeting at 6pm at the usual spot. don't be late https://spotify.com/promo,79,17,3.529,0,0,0,0,0,1,0,0,0,0,0,0,1,SMS,unknown
